+--------+---------+-------+-------------+-------------+
|  cust  |   prod  | month | 1_avg_quant | 1_max_quant |
+--------+---------+-------+-------------+-------------+
|  Dan   |   Ham   |   6   |     5333    |     890     |
| Claire |   Fish  |   11  |     4298    |     763     |
|  Dan   |  Apple  |   11  |     7031    |     973     |
|  Chae  | Jellies |   10  |     5191    |     964     |
|  Chae  |   Ham   |   4   |     3177    |     982     |
|  Mia   |   Fish  |   9   |     4983    |     937     |
|  Mia   |  Dates  |   7   |     3687    |     947     |
|  Dan   |  Butter |   2   |     6832    |     840     |
|  Sam   | Jellies |   7   |     5113    |     997     |
| Wally  |  Cherry |   4   |     5629    |     917     |
|  Chae  |  Apple  |   12  |     3382    |     872     |
| Helen  |  Butter |   7   |     4443    |     910     |
|  Chae  |   Eggs  |   2   |     2355    |     907     |
| Wally  |  Cherry |   5   |     5613    |     978     |
|  Dan   |  Dates  |   5   |     8018    |     992     |
|  Chae  |  Dates  |   6   |     3619    |     950     |
|  Dan   |  Grapes |   9   |     4621    |     998     |
| Wally  |   Ham   |   10  |     5185    |     783     |
| Helen  |   Ham   |   11  |     4439    |     815     |
| Helen  |  Grapes |   12  |     4278    |     993     |
| Claire |  Grapes |   10  |     8055    |     904     |
| Helen  |   Ham   |   8   |     7882    |     842     |
| Helen  |  Cherry |   6   |     3263    |     924     |
| Emily  |  Cherry |   1   |     7173    |     878     |
|  Dan   |   Fish  |   12  |     4593    |     967     |
|  Sam   |   Ham   |   3   |     5502    |     972     |
|  Sam   |   Ice   |   8   |     4298    |     994     |
| Claire | Jellies |   11  |     5883    |     990     |
| Helen  |   Ice   |   11  |     9855    |     936     |
| Wally  |   Ham   |   8   |     4925    |     907     |
|  Dan   |  Apple  |   10  |     3886    |     925     |
|  Dan   |   Eggs  |   8   |     6600    |     914     |
|  Dan   |  Apple  |   3   |     6917    |     911     |
| Claire | Jellies |   10  |     6519    |     938     |
| Claire |  Butter |   11  |     6772    |     938     |
|  Mia   |   Eggs  |   1   |     5883    |     899     |
| Claire | Jellies |   12  |     5724    |     878     |
|  Boo   |  Dates  |   3   |    10167    |     962     |
|  Dan   | Jellies |   1   |     4102    |     972     |
|  Sam   |  Grapes |   7   |     3306    |     804     |
|  Mia   |   Eggs  |   6   |     6136    |     997     |
| Helen  |  Cherry |   1   |     9242    |     996     |
|  Boo   |   Ham   |   1   |     5088    |     983     |
|  Chae  |  Butter |   11  |     5950    |     926     |
|  Mia   | Jellies |   5   |     7705    |     997     |
| Emily  |   Ice   |   6   |     3846    |     924     |
|  Sam   |   Ham   |   12  |     4640    |     820     |
| Emily  |   Ham   |   2   |     4571    |     917     |
|  Dan   |   Ice   |   5   |     3578    |     703     |
| Claire |  Cherry |   8   |     4542    |     961     |
|  Chae  |  Butter |   10  |     4882    |     874     |
|  Boo   |   Ice   |   1   |     2649    |     832     |
|  Boo   |  Dates  |   4   |     4393    |     990     |
| Emily  |  Butter |   8   |     5511    |     991     |
| Helen  |   Ham   |   3   |     3476    |     720     |
|  Chae  |   Ham   |   3   |     6443    |     905     |
| Claire |  Cherry |   5   |     6707    |     975     |
| Claire |  Apple  |   5   |     4188    |     826     |
|  Chae  |   Ice   |   5   |     3115    |     851     |
|  Sam   |  Cherry |   8   |     4169    |     814     |
| Helen  |  Cherry |   4   |     3233    |     981     |
|  Boo   |   Fish  |   8   |     4720    |     984     |
|  Mia   | Jellies |   7   |     4853    |     981     |
|  Dan   |  Dates  |   8   |     5484    |     802     |
|  Mia   |   Fish  |   10  |     4565    |     950     |
|  Chae  |  Grapes |   9   |     5392    |     992     |
| Emily  |  Apple  |   12  |     7174    |     992     |
| Helen  |   Ice   |   9   |     5590    |     970     |
|  Chae  |   Ice   |   11  |     5168    |     998     |
| Wally  |  Grapes |   6   |     4619    |     757     |
|  Boo   |  Apple  |   1   |     4624    |     764     |
|  Sam   |  Grapes |   5   |     3468    |     756     |
| Emily  |   Ice   |   1   |     5255    |     887     |
| Wally  |  Cherry |   12  |     8391    |     865     |
| Emily  |  Cherry |   4   |     3789    |     999     |
| Claire |  Cherry |   3   |     3054    |     819     |
|  Dan   |   Fish  |   7   |     3041    |     803     |
| Helen  |  Dates  |   9   |     3363    |     923     |
|  Sam   |  Dates  |   11  |     6965    |     959     |
|  Chae  |  Grapes |   4   |     4038    |     988     |
|  Mia   |  Butter |   4   |     5427    |     972     |
|  Sam   | Jellies |   1   |     4418    |     832     |
| Emily  |  Cherry |   7   |     3493    |     955     |
|  Dan   |   Fish  |   11  |     3843    |     987     |
| Emily  |   Ham   |   4   |     9119    |     978     |
| Wally  |  Dates  |   3   |     4030    |     962     |
|  Chae  |   Fish  |   5   |     3433    |     882     |
|  Mia   |   Ham   |   7   |     4050    |     961     |
|  Mia   |  Cherry |   1   |     5008    |     991     |
| Claire |  Cherry |   4   |     4314    |     954     |
|  Sam   |   Ice   |   5   |     4789    |     948     |
|  Chae  |  Apple  |   5   |     2374    |     921     |
|  Sam   |   Eggs  |   10  |     3950    |     967     |
| Helen  | Jellies |   2   |     8639    |     946     |
| Wally  |  Apple  |   4   |     3801    |     953     |
| Claire |  Cherry |   7   |     4940    |     926     |
| Claire |   Ham   |   4   |     4715    |     968     |
|  Boo   |   Eggs  |   12  |     6058    |     990     |
|  Mia   |  Butter |   11  |     5455    |     947     |
| Wally  |  Butter |   3   |     5785    |     984     |
| Wally  |  Cherry |   7   |     5284    |     835     |
| Emily  |  Cherry |   2   |     3369    |     735     |
| Emily  |  Apple  |   10  |     5803    |     957     |
|  Chae  |  Butter |   1   |     3301    |     854     |
|  Boo   |  Cherry |   8   |     5466    |     982     |
| Helen  |   Eggs  |   5   |     4167    |     918     |
|  Boo   |  Grapes |   2   |     2024    |     569     |
| Claire |  Apple  |   4   |     4321    |     837     |
| Wally  |  Dates  |   6   |     2905    |     846     |
|  Sam   |  Cherry |   2   |     4645    |     1000    |
| Wally  |   Ice   |   7   |     2507    |     877     |
| Wally  |   Ham   |   6   |     1799    |     741     |
|  Sam   |  Apple  |   9   |     4502    |     916     |
| Helen  |   Fish  |   7   |     5174    |     918     |
| Helen  |  Apple  |   8   |    10682    |     975     |
|  Chae  |  Butter |   2   |     8036    |     993     |
|  Dan   |   Eggs  |   7   |     4254    |     890     |
| Claire |   Fish  |   3   |     5597    |     991     |
| Emily  |   Fish  |   8   |     8785    |     929     |
| Wally  |  Apple  |   8   |     6390    |     945     |
|  Sam   |   Ham   |   7   |     4370    |     922     |
| Wally  |   Ham   |   11  |     5032    |     853     |
|  Boo   |   Eggs  |   1   |     7225    |     942     |
|  Mia   |  Cherry |   5   |     5477    |     990     |
|  Sam   |  Dates  |   8   |     3752    |     826     |
| Wally  |  Dates  |   12  |     5510    |     900     |
|  Mia   |  Dates  |   3   |     4641    |     870     |
|  Dan   |  Cherry |   6   |     6243    |     957     |
| Helen  |  Butter |   1   |     2911    |     866     |
| Claire |  Apple  |   11  |     3570    |     989     |
|  Sam   | Jellies |   5   |     8925    |     999     |
|  Boo   |  Apple  |   8   |     3479    |     805     |
|  Chae  |   Eggs  |   3   |     5396    |     952     |
| Claire | Jellies |   9   |     3545    |     907     |
|  Sam   |  Cherry |   6   |     5159    |     980     |
|  Dan   |   Ice   |   7   |     9198    |     966     |
|  Boo   |  Cherry |   9   |     2123    |     648     |
| Emily  |  Dates  |   8   |     4437    |     870     |
| Claire |  Dates  |   2   |     2824    |     831     |
| Helen  |   Eggs  |   11  |     4480    |     933     |
